"rt","response","accuracy","trial_type","trial_index","time_elapsed","internal_node_id","real_trial_index","subject_id","study_id","session_id","presentation_time","soa","monitorsize_inch","pxperdeg","stimulus_diagonal_px","stimulus_diagonal_cm","success","timeout","failed_images","failed_audio","failed_video","width","height","browser","browser_version","mobile","os","fullscreen","vsync_rate","view_history","stimulus","block","condition","expected_response","effective_response","correct"
"1765","{""survey_subject_id"":""p"",""survey_study_id"":""l"",""survey_session_id"":""m""}","[]","survey","0","1775","0.0-0.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","","","","","",""
"","","","preload","1","1784","0.0-1.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","true","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","fullscreen","2","3762","0.0-2.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","true","","","","","","","","","","","","","","","","","","",""
"","","","browser-check","3","4764","0.0-3.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","1440","900","chrome","114.0.0","false","Mac OS","true","60.24","","","","","","",""
"2507","","","instructions","4","7273","0.0-4.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":571},{""page_index"":1,""viewing_time"":481},{""page_index"":2,""viewing_time"":444},{""page_index"":3,""viewing_time"":384},{""page_index"":4,""viewing_time"":627}]","","","","","",""
"374,936,1511","["" "","" "","" ""]","","html-keyboard-response","5","13392","0.0-5.0-0.0","1","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapeup","practice","Go","1","2","false"
"885,1406,1980,2494","["" "","" "","" "","" ""]","","html-keyboard-response","6","17505","0.0-5.0-0.1","2","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapeup","practice","Go","1","2","false"
"810,2310","["" "","" ""]","","html-keyboard-response","7","21616","0.0-5.0-0.2","3","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapedown","practice","NoGo","0","2","false"
"870,3066","["" "","" ""]","","html-keyboard-response","8","25729","0.0-5.0-0.3","4","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapeup","practice","Go","1","2","false"
"1185","["" ""]","","html-keyboard-response","9","29839","0.0-5.0-0.4","5","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapedown","practice","NoGo","0","1","false"
"2400","["" ""]","","html-keyboard-response","10","32242","0.0-6.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","","","","","",""
